Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6832714,"El cielo es azul, la tierra blanca",Hiromi Kawakami,"Kawakami, Hiromi",Marina Bornas Montaña,"=""8492649143""","=""9788492649143""",0,3.69,Acantilado,Paperback,214,2009,2001,,2019/01/31,to-read,to-read (#24),to-read,,,,0,0
208631,Ocean Sea,Alessandro Baricco,"Baricco, Alessandro",Alastair McEwen,"=""0375703950""","=""9780375703959""",0,4.09,Knopf Doubleday Publishing Group,Paperback,256,2000,1993,,2019/01/31,to-read,to-read (#23),to-read,,,,0,0
61264,Silk,Alessandro Baricco,"Baricco, Alessandro",Guido Waldman,"=""0375703829""","=""9780375703829""",0,3.85,Vintage,Paperback,91,1998,1996,,2019/01/31,to-read,to-read (#22),to-read,,,,0,0
25492717,Tuesday Falling,S.  Williams,"Williams, S.",,"=""0008132755""","=""9780008132750""",0,4.10,HarperFiction - KillerReads ,Paperback,240,2015,2015,,2019/01/30,to-read,to-read (#21),to-read,,,,0,0
242472,The Black Swan: The Impact of the Highly Improbable,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""1400063515""","=""9781400063512""",0,3.96,Random House ,Hardcover,480,2007,2007,,2019/01/28,to-read,to-read (#20),to-read,,,,0,0
29794850,"El silencio de la ciudad blanca (La ciudad blanca, #1)",Eva García Sáenz de Urturi,"Urturi, Eva García Sáenz de",Eva García Sáenz,"=""""","=""""",0,4.29,Editorial Planeta,Kindle Edition,482,2016,2016,,2018/11/04,to-read,to-read (#19),to-read,,,,0,0
59106,Opus Nigrum,Marguerite Yourcenar,"Yourcenar, Marguerite",Emma Calatayud,"=""9505118678""","=""9789505118670""",0,4.02,Alfaguara,Paperback,384,2003,1968,,2018/10/12,to-read,to-read (#18),to-read,,,,0,0
17331349,Think Like a Freak,Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,"=""0062218360""","=""9780062218360""",4,3.86,William Morrow,Kindle Edition,293,2014,2014,,2014/05/16,,,read,,,,1,0
22756871,All Involved,Ryan Gattis,"Gattis, Ryan",,"=""0062378791""","=""9780062378798""",4,3.99,Ecco,Hardcover,384,2015,2015,2018/08/28,2018/07/13,,,read,,,,1,0
635454,Meditation Made Easy,Lorin Roche,"Roche, Lorin",,"=""006251542X""","=""9780062515421""",0,3.87,HarperOne,Paperback,208,1998,1998,,2018/08/11,to-read,to-read (#17),to-read,,,,0,0
